[31-12-2025 17:27:22] [PLACEMENT-ELIGIBILITY] Total=110, IsResolved=0, IsClusterResolved=0, Eligible=110
  CZ 81944024-a8fa-f280-5d76-c2363cc47aa5 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ b34f5ad0-c7f8-990f-fb71-bdb439438474 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ e4acd5d5-d0d6-c55d-c4b4-755102d906de Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 72168f4b-f144-3fef-4f0e-a09d7462dfe9 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ f4af7b7d-76e2-e8c6-f9c1-92a6dbf21ed7 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 22a5d186-baac-d2c5-3963-ff73e9bd9086 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ c18280f7-87d6-8686-f0af-9ff5a2685efe Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 76bd1243-42ca-67b7-4707-f3269a9e33ba Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ b761d7d0-a807-5c38-74df-459054da6474 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 0d5bc810-bfb7-4bbb-2444-fa26b583ed82 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 67fbd655-e0da-b7e4-0f9c-d66525047478 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
[31-12-2025 17:27:45] [PLACEMENT-ELIGIBILITY] Total=21, IsResolved=0, IsClusterResolved=0, Eligible=21
  CZ 935ea122-7169-ac0b-1470-76f7a5e9d6d5 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 9f1747e9-810a-73b0-1926-eb581c142a2a Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 8616a0aa-a600-a464-3ebb-8cebd6f83b6a Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 8487ee2c-d3f2-23cf-75b8-f5527727ab3d Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 2632bbf0-c167-cc8c-b3e2-e941990e41de Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 55033bc9-ee4f-b7ba-ff0e-6c7a5b521493 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 7bf0a81d-7f23-7b16-d366-ab8b9a4b8c39 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ df577d30-6424-a37a-4833-fe0825bb05bf Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ a3145e45-b097-445f-2065-0863c3c137b6 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 3cec003b-2dd2-dfb1-a929-bba6b642b2e5 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 7a3fc1a5-750b-23ce-c189-6dcb53feaac0 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 33ae96d6-7dff-e1cc-48b0-2365508afaa6 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ b46b82d4-41cf-708b-b85c-f30fd2f0bf1d Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ cf8ae4bc-437c-d894-d4e0-2a9b22c220a2 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 634a2b88-42f3-169c-6829-b1f5bcc0b8c1 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 8abcb5eb-fa43-1dd6-0735-d8cf977ff6cb Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 26272a4f-9f89-805c-3c95-a1c1e7f340b9 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ b3515ca9-b4dd-c7fc-d6e6-133c2578ecdd Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 6564c781-c6cb-2232-2fa0-8b701e4909d3 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 50e781f3-5ff7-bb4b-d74f-d42c9551aac7 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ bcf58f2f-9a96-94a2-476d-3c39f15331b6 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
